Name,Price(in Nrs),Transmisson,Colour,Make Year,Mileage,Engine(CC),Fuel,Kilometer Run
Hyundai i20 sportz 2010 urgent Sale (Hyundai),1500000,Auto2WD,other,2010,15.0,1198,Petrol,43000
Suzuki Baleno Delta 2018 Model (Maruti Suzuki),2265000,PowerSteering,other,2018,16.0,1200,Petrol,43000
I20 actives 2016 model on sell or xchange (Hyundai),2600000,Manual2WD,white,2016,15.0,1200,Petrol,34000
Santo xing on sale full option 2003 model on sale (Hyundai),800000,Manual2WD,other,2003,15.0,1086,Petrol,90000
2002 model full option santro for sale (Hyundai),570000,Manual2WD,other,2002,14.0,1086,Petrol,89
2001 model frees santro for sale (Hyundai),470000,Manual2WD,other,2001,14.0,1000,Petrol,95
Hyundai Santro Gls Plus 2013 (Hyundai),1490000,Manual2WD,other,2013,15.0,1086,Petrol,40000
Maruti Suzuki Baleno Delta 2016 (Maruti Suzuki),2075000,Manual2WD,other,2016,15.0,1197,Petrol,39000
Maruti Suzuki Zen Estilo Vxi 2010 (Maruti Suzuki),1075000,Manual2WD,other,2010,15.0,996,Petrol,61477
Cargo maruti (Maruti Suzuki),500000,Manual4WD,other,2015,15.0,800,Petrol,40000
"2015 model swift zxi singlehanded sale,exng bike (Maruti Suzuki)",2250000,Manual2WD,other,2015,15.0,1200,Petrol,46000
FINANCE PANI Hatti Gadi Urgent Sell 9849193421 (Tata),1100000,Manual4WD,white,2018,16.0,1405,Diesel,95000
"2016 Swift Dezire Vxi Sale, Exchange, Finance (Maruti Suzuki)",2075000,Manual2WD,other,2016,16.0,1200,Petrol,47000
santro xing (Hyundai),650000,PowerSteering,silver,2001,15.0,1000,Petrol,80000
GRAND I 10 Magna 1.2 (Hyundai),2550000,Manual4WD,other,2019,15.0,1196,Petrol,17000
Puegot (Other Brands),500000,Manual2WD,other,2001,15.0,2800,Petrol,90000
Volswagen CrossPolo (Volkswagen),2050000,Manual2WD,black,2015,15.0,1600,Petrol,35000
Fiat Aventura (Fiat),1550000,Manual2WD,white,2015,13.0,1400,Petrol,35000
Hyundai Creta Sx top variant (Hyundai),4575000,Manual2WD,white,2019,15.0,1500,Petrol,38000
S Hyundai i20 Active (Hyundai),2865000,Manual2WD,brown,2017,15.0,1197,Petrol,35000
Top variant Hyundai i 20 Active (Hyundai),2900000,Manual2WD,white,2017,15.0,1200,Petrol,38000
Chevrolet Optra (Chevrolet),1250000,Manual2WD,gold,2012,15.0,1400,Petrol,38000
Grand i10 Magna New shape (Hyundai),2300000,Manual2WD,red,2018,14.0,1200,Petrol,27000
volswagen Tiguan (Volkswagen),3150000,Manual2WD,other,2010,15.0,2000,Petrol,75000
Suzuki Breeza zxi plus (Maruti Suzuki),3975000,Manual2WD,other,2021,15.0,1300,Petrol,30000
Hyundai i10Magna (Hyundai),1265000,Manual2WD,other,2009,15.0,1197,Petrol,61000
