Name,Price(in Nrs),Transmisson,Colour,Make Year,Mileage,Engine(CC),Fuel,Kilometer Run
Maruti Suzuki Swift 2015 Vxi Single Use For Sale (Maruti Suzuki),1875000,Manual2WD,other,2015,16.0,1200,Petrol,48000
hyundai eon (Hyundai),900000,Manual2WD,silver,2012,14.0,814,Petrol,40000
Maruti Suzuki Brezza Zdi plus 2018 (Maruti Suzuki),3200000,Manual2WD,other,2018,14.0,1400,Diesel,43000
Suzuki Swift ZXI (Maruti Suzuki),2300000,Manual2WD,other,2016,15.3,1248,Petrol,30000
Hyundai i10 Magna 2014 (Hyundai),1700000,Manual2WD,other,2014,15.0,1200,Petrol,39000
sell (Maruti Suzuki),3200000,PowerSteering,red,2018,14.0,1200,Diesel,66000
Hyundai i20 Active S 2019 (Single Handed) (Hyundai),3200000,Manual2WD,other,2019,15.0,1400,Petrol,39000
urgent sell (Tata),3600000,Auto2WD,green,2021,15.0,1200,Petrol,36000
Mahindra KUV 100 K8 (Mahindra),2250000,Auto2WD,other,2016,14.5,1198,Petrol,35000
ford Figo titanium on sale (Ford),1000000,Manual2WD,red,2011,15.0,1200,Petrol,80000
Toyota Land Cruiser Prado Vx (Toyota),23500000,Auto4WD,other,2017,15.0,4461,Diesel,85000
Ford Ranger Autogear 4wd 55 Lakh Bank Available (Ford),8800000,Auto4WD,other,2020,15.0,3200,Diesel,17000
Volkswagen Tiguan Allspace for sale (Volkswagen),8700000,Auto4WD,other,2017,15.0,1984,Petrol,50000
Fresh condition Toyota RAV4 (Toyota),3490000,Auto4WD,other,2010,15.0,2400,Petrol,84000
urgent sale 9841395832 (Mahindra),750000,Manual2WD,other,2015,15.0,2600,Diesel,9
Maruti Suzuki Swift Dzire Zxi 2015 (Maruti Suzuki),2150000,Manual4WD,other,2015,15.0,1197,Petrol,40014
I10 sportz 1.2 for sale (Hyundai),1599999,Manual2WD,grey,2011,13.0,1200,Petrol,52000
Kiger On Sell (Renault),2500000,PowerSteering,other,2021,15.0,1000,Petrol,18000
i10 Hyundai Magna - Silver (Hyundai),1500000,Manual2WD,other,2010,14.0,1200,Petrol,58000
Single handed isuzu s-cab for sale (Other Brands),2975000,Manual2WD,silver,2018,13.0,2500,Diesel,30000
Ford Figo exi for sale (Ford),1225000,Manual2WD,silver,2013,13.0,1200,Petrol,4000
TOYOTA RAV4 FOR SALE (Toyota),3300000,Auto4WD,silver,2015,15.0,2494,Petrol,12000
Well Maintained Swift Dzire VXI 2012 for sell (Maruti Suzuki),1700000,Manual2WD,other,2012,13.0,1200,Petrol,63000
KIA Sportage urgent sale (Kia),1875000,Manual4WD,red,2007,13.0,2000,Diesel,68000
Hyundai Santro GL plus 2011 Model (Hyundai),1400000,Manual2WD,other,2011,15.0,1086,Petrol,97000
Single hand grand i10 magna 2018(airbag) on sale (Hyundai),2250000,Manual2WD,other,2018,15.0,1200,Petrol,27000
Skoda fabia on sale (Skoda),1250000,Manual2WD,silver,2012,15.0,1200,Petrol,68000
Volkswagen Polo 1.6 Highline (Volkswagen),2100000,Manual2WD,other,2015,15.0,1600,Petrol,49000
Japanese Sirion on Sale (Daihatsu),930000,Manual2WD,silver,2007,15.0,1300,Petrol,78000
KIA Sportage on Sale!! (Kia),990000,Manual4WD,other,2001,13.0,2200,Diesel,143000
Hyundai i20 Magna 2013 (Hyundai),1735000,Manual2WD,other,2013,14.0,1197,Petrol,44000
VOLKSWAGEN POLO GT TSI Autogear 2013 (Volkswagen),2450000,Auto2WD,white,2013,15.0,1200,Petrol,35000
Toyata Rav4 Autogear 2008 Model On Sale Urgent (Toyota),3800000,Auto4WD,other,2008,15.0,2362,Petrol,91000
Triber Renualt 2021 (Renault),2350000,Auto2WD,other,2021,16.0,999,Petrol,14000
Fully fresh Hyundai grand i10 Magna (Hyundai),2225000,Manual2WD,silver,2016,15.0,1197,Petrol,33000
car on sale (Hyundai),1100000,PowerSteering,grey,2008,15.0,1000,Petrol,88000
Hyundai Creta (Hyundai),3585000,Manual4WD,silver,2015,15.0,1591,Petrol,57000
Toyota Hilux (Toyota),7800000,Manual4WD,silver,2018,15.0,2755,Diesel,40000
Toyota Hilux (Toyota),7800000,Manual4WD,silver,2018,15.0,2755,Diesel,40000
Toyota hilux (Toyota),7800000,Manual4WD,silver,2018,15.0,2755,Diesel,40000
Hyundai Creta (Hyundai),3590000,Auto2WD,silver,2015,15.0,1591,Petrol,57000
Hyundai Creta (Hyundai),3585000,Manual2WD,silver,2015,15.0,1591,Petrol,57000
Renault Kiger RXL MT Auto Gear (Renault),2785000,Auto2WD,other,2021,15.0,999,Petrol,7000
SONET (KIA) (Kia),3200000,Manual2WD,other,2021,15.0,1200,Petrol,11000
Grand i10 Magna 2014 (Hyundai),1875000,Manual4WD,grey,2014,15.0,1197,Petrol,42000
polo 1.6 high-Line 2016 (Volkswagen),2450000,Manual2WD,orange,2016,15.0,1600,Petrol,49000
Tata nexon xm s (Tata),3650000,Manual2WD,other,2021,15.0,1200,Petrol,17000
Hyundai getz (Hyundai),925000,Manual2WD,other,2008,15.0,1400,Petrol,67000
nissan super saloon 2005 model on sale (Nissan),1100000,PowerSteering,silver,2005,15.0,1600,Petrol,100500
Excellent 9817874410 (Tata),1650000,Auto2WD,red,2014,14.0,2956,Diesel,125000
Toyota echo (Toyota),950000,PowerSteering,grey,2003,15.0,1300,Petrol,140000
Ecosport 2013 trend model (Ford),1775000,Manual2WD,other,2013,15.0,1200,Diesel,54500
Swift Zxi 2006 Single Hand (Maruti Suzuki),1390000,Manual2WD,other,2006,14.0,1200,Petrol,55000
Toyota Corolla lx new shape with double airbag (Toyota),1725000,Manual2WD,other,2007,15.0,1600,Petrol,47000
Family car on sale - Perodua viva (Perodua),765000,Manual2WD,other,2008,15.0,850,Petrol,36000
Suzuki vittara 3 door (Maruti Suzuki),875000,Manual4WD,white,1992,15.0,1600,Petrol,100000
well maintained fully fresh engine i20 on sale (Hyundai),1250000,Manual2WD,silver,2010,16.0,1200,Petrol,48000
Hyundai Creta 2017 (Hyundai),3390000,Manual2WD,grey,2017,15.0,1598,Petrol,41000
Honda CR-V 2018 (Honda),10700000,Auto4WD,other,2018,15.0,1500,Petrol,8300
Fresh Maruti Car On Sales (Maruti Suzuki),550000,Manual2WD,other,2006,15.0,800,Petrol,81155
wagan R 2008 vxi (Maruti Suzuki),835000,Manual2WD,other,2008,16.0,1087,Petrol,55000
Full fresh condition zyotee mini JEEP on sale (Other Brands),995000,Manual2WD,other,2010,14.0,1300,Petrol,48000
Vw poli 1.6 single hand (Volkswagen),1650000,Manual2WD,other,2011,13.0,1600,Petrol,47000
Suzuki Swift Dzire 2010 Vxi (Maruti Suzuki),1399999,Auto2WD,other,2010,16.0,1200,Petrol,61000
Skoda Rapid 2021 with 15 lakh Finance (Skoda),3000000,Manual2WD,other,2021,15.0,1000,Petrol,21000
Hyundai I10 (2014 Model) (Hyundai),1700000,Manual2WD,red,2014,16.5,1049,Petrol,41848
Tata Tiago On Sale (Tata),1980000,Manual2WD,other,2019,15.0,1200,Petrol,20000
Kia sportage lxi petrol (Kia),4850000,Manual2WD,other,2018,13.0,2000,Petrol,52000
Ford Eco sport (2015) white (Ford),2150000,Manual2WD,white,2015,15.0,1500,Petrol,70000
2010 Model New Shape I10 Magna 1.2 On Sale (Hyundai),1475000,Manual2WD,other,2010,14.0,1200,Petrol,61000
Hyundai Getz 2009 Model Full Option (Hyundai),920000,Manual2WD,other,2009,15.0,1350,Petrol,72000
Excellent Condition Suzuki Swift Zxi 2008 on sale (Maruti Suzuki),1399999,Manual2WD,other,2008,13.0,1300,Petrol,66000
Tata sumo ex gold (Tata),1175000,PowerSteering,gold,2013,15.0,2956,Diesel,93000
Suzuki Swift Dzire VXI 2009 (Maruti Suzuki),1190000,Manual2WD,silver,2009,15.0,1200,Petrol,60000
Rav4 (Toyota),6500000,Manual2WD,other,2013,15.0,2500,Petrol,55000
Ford Freestyle Titanium On Sale (Ford),2495000,Auto2WD,other,2018,15.0,1200,Petrol,28800
Lxi Alto (Maruti Suzuki),1350000,Manual2WD,other,2016,16.0,800,Petrol,56000
Mahindra tipper (Mahindra),1800000,Auto2WD,blue,2018,15.0,2609,Diesel,23000
FORD ECO SPORTS IN IMMACULATE CONDITION (Ford),2350000,PowerSteering,other,2018,15.0,1500,Petrol,35500
"Swift Dzire vxi ,2008 model, petrol,9851016822 (Maruti Suzuki)",1250000,Manual2WD,grey,2008,15.0,1300,Petrol,66235
"Nios grand i10 magna,2021 model, petrol,9851016822 (Hyundai)",2775000,Manual2WD,other,2021,15.0,1200,Petrol,12000
"Grand i10 magna ,2017 model,9851016822,Finance hnx (Hyundai)",2225000,Manual2WD,red,2017,15.0,1200,Petrol,33256
"full option Swift zxi ,2014 model,9851016822 (Maruti Suzuki)",2075000,Manual2WD,silver,2014,15.0,1200,Petrol,42136
"Swift zxi with push button,2017 model, petrol, (Maruti Suzuki)",2550000,Manual2WD,silver,2017,15.0,1200,Petrol,39523
"Eeco van 7 seater with airbag Petrol,2020 model, (Maruti Suzuki)",1850000,Manual2WD,silver,2020,15.0,1200,Petrol,23000
"Hyundai Grand I10, 2018 Model, Only 17000km Silver (Hyundai)",2350000,Manual2WD,silver,2018,15.0,1200,Petrol,17000
Suzuki Alto Lxi 2018 Model (Maruti Suzuki),1399000,PowerSteering,other,2018,15.0,800,Petrol,42000
Hyundai Verna SX 1.6 (Hyundai),1950000,Manual2WD,other,2012,13.0,1600,Petrol,71000
Tata zest xt 2016 model for sale (Tata),1850000,Manual2WD,other,2016,15.0,1200,Petrol,39000
2015 Model Daihatsu Terios 4 wd drive 9847699255 (Daihatsu),4450000,Manual4WD,grey,2015,15.0,1500,Petrol,43000
Swift zxi 2016 (Maruti Suzuki),2375000,Manual2WD,silver,2016,15.0,1200,Petrol,38000
Grand i10 Asta 2016 (Hyundai),2375000,Manual2WD,silver,2016,14.0,1200,Petrol,52000
Toyota Corolla Lx Fully Loaded Double Airbags (Toyota),1750000,Manual2WD,other,2007,15.0,1600,Petrol,47000
Maruti Delivery Van (Maruti Suzuki),505000,Manual2WD,other,2015,15.0,800,Petrol,52500
Maruti suzuki Celerio Vxi Auto 2014 model for sale (Maruti Suzuki),1800000,Auto2WD,other,2014,15.0,1000,Petrol,47000
Ford Figo Single Woner No Dent Super Fresh Car (Ford),1650000,Manual2WD,other,2017,15.0,1200,Petrol,43000
Toyota Avanza 7 seater for sale 2013 model (Toyota),2150000,Manual2WD,other,2013,15.0,1300,Petrol,53000
Mahindra Bolero DC 2017 pickup for sale (Mahindra),1950000,Manual4WD,other,2017,15.0,2523,Diesel,38000
Maruti suzuki eco van for sale 2016 model (Maruti Suzuki),1450000,Manual2WD,other,2016,15.0,1200,Petrol,54590
sentro Xing (Hyundai),1150000,PowerSteering,white,2009,15.0,1086,Petrol,60000
Ford Figo On Sale (Ford),999999,Manual2WD,other,2011,13.0,1199,Petrol,53000
suzuki brezza (Maruti Suzuki),4100000,Manual2WD,other,2021,15.0,1500,Petrol,24500
terios on sale (Daihatsu),2550000,Manual4WD,other,2007,15.0,1500,Petrol,53000
Hatti gadi Mahindra maximo plus color white (Mahindra),450000,PowerSteering,white,2013,15.0,901,Diesel,16057
Eeco Van 2018 Model (Maruti Suzuki),1525000,Manual2WD,other,2018,15.0,1200,Petrol,63000
SUPER FRESH CONDITION ZYOTEE MINI JEEP ON SALE (Other Brands),875000,Manual2WD,other,2009,14.0,1300,Petrol,52000
Scoripio (Mahindra),3675000,Manual4WD,other,2017,15.0,2200,Diesel,65000
2010 ZOTYE 1.3 SINGLE HAND (Other Brands),1025000,Manual2WD,other,2010,13.0,1300,Petrol,55000
Hyundai Creta (Hyundai),5500000,Manual2WD,other,2018,15.0,1600,Petrol,30000
Ford ecoport Trend model (Ford),2500000,Manual2WD,other,2016,15.0,1500,Petrol,45000
Car for sales (Maruti Suzuki),715000,Manual4WD,other,2009,15.0,800,Petrol,80000
Honda city 2015 (Honda),2320000,Manual2WD,silver,2015,15.0,1490,Petrol,30100
Cevrolet Spark 2009 Model Full Loded (Chevrolet),900000,Auto2WD,other,2009,14.5,1000,Petrol,85000
Santro Xing For Sale (Hyundai),975000,Auto2WD,other,2005,15.0,1100,Petrol,82000
Hyundai i10 sportz for sale (Hyundai),1450000,Auto2WD,other,2009,15.0,1200,Petrol,80000
Ford Figo (Ford),1075000,Manual2WD,other,2011,15.0,1200,Petrol,60000
Volkswagen Polo 2018 (Volkswagen),2450000,Manual2WD,other,2018,15.0,998,Petrol,27969
Kia Rio (Kia),540000,Auto2WD,other,2004,14.0,1400,Petrol,60000
Maruti Suzuki Swift Zxi 2014 (Maruti Suzuki),2025000,Manual2WD,other,2014,15.0,1197,Petrol,47582
MAHINDRA BOLERO PICKUP 4 WHEEL (Mahindra),1150000,Manual4WD,other,2016,15.0,2500,Petrol,46230
MARUTI SUZUKI ALTO ALTO CAR 800 (Maruti Suzuki),600000,Manual2WD,other,2004,15.0,800,Petrol,63586
HYUNDAI SANTRO XING SEMI OPTION CAR (Hyundai),1725000,Manual2WD,other,2014,15.0,1086,Petrol,52490
ALTO K10 SEMI OPTION CAR (Hyundai),590000,Manual2WD,other,2002,15.0,1061,Petrol,62570
Maruti Suzuki Swift Zxi On Sale.. (Maruti Suzuki),1897000,Manual2WD,other,2014,15.0,1197,Petrol,74000
"Creta sx (o), 2019, silver color 9863861301 (Hyundai)",5100000,Manual2WD,other,2019,15.0,1600,Petrol,20000
dzire vxi 2014 (Maruti Suzuki),1700000,Auto2WD,white,2014,14.0,1200,Petrol,65300
Hyundai i10 Magna 1.2 2013 For Sale (Hyundai),1700000,Manual2WD,other,2013,13.0,1200,Petrol,50000
maruti suzuki celerio vxi 2014 auto gear (Maruti Suzuki),1800000,Auto2WD,other,2014,15.0,998,Petrol,47000
i20 sportz 2013 (Hyundai),1750000,Manual2WD,other,2013,13.0,1500,Petrol,45
Bolero Maxitruck (Mahindra),1200000,Manual2WD,other,2017,15.0,2523,Diesel,100000
SUZUKI ALTO (Maruti Suzuki),1575000,Manual2WD,other,2018,15.0,800,Petrol,46333
Hyundai I20 Active S 2018 (Full Option) (Hyundai),3075000,Manual2WD,other,2018,15.0,1197,Petrol,32000
Hyundai Santro full option car 2007 model for sale (Hyundai),11500000,Manual2WD,other,2007,15.0,1100,Petrol,73000
Volkswagen polo 1.6 highline 2014 for sale (Volkswagen),2150000,Manual2WD,other,2014,15.0,1600,Petrol,42000
Honda Amaze smt 2015 model car for sale (Honda),18500000,Manual2WD,other,2015,15.0,1200,Petrol,45000
Hyundai accent (Hyundai),775000,Manual2WD,silver,2003,15.0,1500,Petrol,102500
Hyundai Creta E+ 2019 model for sale (Hyundai),4000000,Manual2WD,other,2019,15.0,1600,Petrol,20000
Toyota Corolla LX 2007 single hand (Toyota),1575000,Manual2WD,other,2007,15.0,1497,Petrol,65000
ALTO 2009 for sale (Maruti Suzuki),870000,Manual2WD,other,2009,16.0,800,Petrol,57000
Nissan Micra XV 2015 (Nissan),1450000,Manual2WD,other,2015,15.0,1200,Petrol,36000
Suzuki swift 2017 ZXI on sale. (Maruti Suzuki),2400000,Manual2WD,other,2017,16.0,1197,Petrol,26000
i20 Active S 2018 (Hyundai),3075000,Manual2WD,other,2018,14.0,1200,Petrol,37000
Hyundai getz 2008model (Hyundai),950000,Manual2WD,blue,2008,15.0,1400,Petrol,81000
santro (Hyundai),850000,Manual2WD,blue,2004,15.0,1200,Petrol,55
santro (Hyundai),950000,Manual2WD,red,2005,15.0,1200,Petrol,45
Excellent 2012 cheverolet uva 1.2 with airbags abs (Chevrolet),1025000,Manual2WD,other,2012,14.0,1200,Petrol,43000
tata super ace good condition n looks good (Tata),800000,Auto2WD,white,2012,15.0,1399,Diesel,70000
Hyundai Creta (Hyundai),5600000,Manual2WD,other,2021,15.0,1500,Petrol,19000
FORD FIGO TITANIUM 2013 WELL IN CONDITION FUE RUN (Ford),1275000,Manual2WD,other,2013,15.0,1196,Petrol,21000
KIA Sportage AWD in mint condition for urgent sale (Kia),3050000,Manual4WD,white,2011,14.0,1998,Petrol,58010
For sale 2017 model ecosport ambient petrol (Ford),1850000,Manual2WD,other,2017,15.0,1500,Petrol,43000
Mahindra Bolero Single Cab Pickup 1.5 TPS 2018 (Mahindra),1575000,Manual2WD,other,2018,15.0,2523,Diesel,29594
HYUNDAI CRETA SX+ 2016 FULLY LOADED VEHICLE (Hyundai),3375000,Manual2WD,other,2016,15.0,1591,Petrol,42097
Baleno Delta 2017 (Maruti Suzuki),2250000,Manual2WD,other,2017,15.0,1200,Petrol,32000
Maruti Suzuki zxi (Maruti Suzuki),1990000,Auto2WD,red,2013,15.0,1197,Petrol,71500
Maruti Suzuki Swift Dzire Vxi - silky silver (Maruti Suzuki),2700000,Manual2WD,other,2019,15.0,1197,Petrol,27000
Santro xing 2007 (Hyundai),1075000,Auto2WD,other,2007,14.0,1086,Petrol,57000
i20 good condition for sell (Hyundai),1640000,Auto2WD,other,2010,14.0,1200,Petrol,65000
Jeep Compass Limited + 2020 (Jeep),8900000,Manual4WD,other,2020,15.0,1956,Diesel,35000
Renault kwid 1.0 rxt for sale (Renault),1499999,Manual2WD,grey,2017,15.0,1000,Petrol,32000
bhansar ko que ko gadi urgent sale (Mahindra),1450000,Manual2WD,red,2012,14.0,900,Diesel,81000
Proton Wira Good condition car 2005 model Malaysia (Other Brands),625000,Manual4WD,black,2005,15.0,1468,Petrol,6278
"Ford India, Eco Sport (Ford)",2200000,Manual2WD,grey,2013,15.0,1498,Diesel,0
Scorpio (Mahindra),2200000,Manual2WD,other,2012,15.0,2179,Diesel,180000
New Nissan Magnite XE 2022 (BRAND NEW DEAL) (Nissan),2750000,Manual2WD,other,2022,15.0,999,Petrol,10000
Toyota car (Toyota),150000,Manual2WD,other,1993,16.0,1900,Diesel,100000
Brezza 1.5 petrol zxi+ 2021 (Maruti Suzuki),4075000,Manual2WD,silver,2021,16.0,1500,Petrol,12000
Hyundai i10 asta grand 2018 push button start (Hyundai),2575000,Manual2WD,other,2018,15.0,1200,Petrol,32000
Hyundai i10 grand magna 2014 48000 km (Hyundai),1850000,Manual2WD,other,2014,15.0,1200,Petrol,48000
Single handed Cargo van on sale (Maruti Suzuki),740000,Auto2WD,other,2018,15.0,800,Petrol,17000
Mahendra bolero pickup truck (Mahindra),1450000,Manual4WD,grey,2017,15.0,2500,Diesel,42000
Bolero maxitruck (Mahindra),1675000,Auto4WD,white,2019,15.0,2500,Diesel,56000
Honda City 2004 (Honda),799999,Manual2WD,other,2004,15.0,1498,Petrol,108000
Well maintained car. Everything is fine. Single ha (Hyundai),1925000,Manual2WD,other,2015,15.0,1200,Petrol,60000
VW Polo 2014 Highline 1200 (Renault),1950000,Manual2WD,other,2014,13.0,1200,Petrol,60000
Hyundai i10 magna 2014 (Hyundai),1750000,Manual2WD,silver,2014,15.0,1200,Petrol,93000
nissan xtrail 2007 model for sale or exchange (Nissan),2450000,Auto4WD,white,2007,13.0,2200,Diesel,60000
